psraid,sample,lang,fips,state,cregion,usr,pial1a,pial1b,pial1c,pial1d,smart1,pial2,pial3a,pial3b,pial3c,pial4a,pial4b,pial4c,pial4d,pial5,pial6m1,pial6m2,pial6m3,pial6m4,SmartPhone,ql1,ql1a,qc1,hh1,employ,par,sex,age,educ2,hisp,race,inc,income,reg,party,partyln,raceos,weight,standwt
100007,1,1,18137,18,2,R,1,1,2,2,1,6,1,2,2, , , , ,1,1, , , ,1,1, , ,1,2,1,2,49,3,2,1,1,1,1,2, , ,2.10714285714286,.603960440412903
100021,1,1,13117,13,3,S,1,1,1,1,1,6,1,2,2, , , , ,1,1, , , ,1,1, , ,3,3,2,2,73,3,2,1,6,3,1,3,9, ,3.82142857142857,1.09531808685052
100028,1,1,42067,42,1,R,1,1,2,2,2,48,1,2,2, , , , ,1,1, , , ,2,1, , ,1,3,2,1,66,6,2,1,6,3,1,2, , ,1,.286625293755276
100030,1,1,39095,39,2,S,1,1,1,1,2,8,1,2,2, , , , ,2, , , , ,2,1, , ,2,3,2,1,85,4,2,1,3,1,1,1, , ,2.42857142857143,.696089999119956
100050,1,1,37081,37,3,U,1,1,1,1,2,80,1,2,1,1,5,3,5,2, , , , ,2,1, , ,3,1,1,1,55,3,2,2,6,3,1,3,2, ,3.60714285714286,1.03389838104582
100059,1,1,42063,42,1,R,1,1,2,2,2,20,1,2,2, , , , ,1,1, , , ,2,1, , ,1,2,2,1,57,6,2,1,1,1,1,4,2, ,1.17857142857143,.337808381925861
100060,1,1,36061,36,1,U,1,1,2,2,2,2,1,2,1, , ,5,5,2, , , , ,2,1, , ,1,2,2,2,47,4,2,2,2,1,2,3,9, ,3.07142857142857,.880349116534063
100070,1,1,24510,24,3,S,1,1,2,2,2,8,1,2,2, , , , ,1,1, , , ,2,1, , ,2,2,2,1,70,6,2,1,99,9,1,4,1, ,1.71428571428571,.491357646437616
100078,1,1,13067,13,3,S,1,1,2,2,2,4,1,2,2, , , , ,2, , , , ,2,1, , ,3,3,1,2,50,6,2,1,99,9,1,1, , ,3.75,1.07484485158229
100083,1,1,36047,36,1,U,1,1,1,1,1,98, , , , , , , , , , , , ,1,1, , ,2,1,1,2,44,6,2,1,9,4,1,2, , ,4.75,1.36147014533756
