state,year,total_students,frl_students
Alabama,2000,728351,335143
Alaska,2000,105333,32468
Arizona,2000,877696,274277
Arkansas,2000,449959,205058
California,2000,6050753,2820611
Colorado,2000,724349,195148
Connecticut,2000,562179,143030
Delaware,2000,114676,37766
District of Columbia,2000,68380,47839
Florida,2000,2434755,1079009
Georgia,2000,1444937,624511
Hawaii,2000,184357,80657
Idaho,2000,244755,85824
Illinois,2000,2048792,759973
Indiana,2000,977219,285267
Iowa,2000,492021,131553
Kansas,2000,462594,154693
Kentucky,2000,626723,298334
Louisiana,2000,741162,433068
Maine,2000,198532,60162
Maryland,2000,852911,255872
Massachusetts,2000,979590,237871
Michigan,2000,1703260,504044
Minnesota,2000,854154,218867
Mississippi,2000,497421,319670
Missouri,2000,912247,315608
Montana,2000,154438,47415
Nebraska,2000,286138,87045
Nevada,2000,282621,92978
New Hampshire,2000,206919,31212
New Jersey,2000,1312983,357728
New Mexico,2000,320303,174939
New York,2000,2859927,1236945
North Carolina,2000,1194371,470316
North Dakota,2000,109201,31840
Ohio,2000,1745237,494829
Oklahoma,2000,623110,300179
Oregon,2000,535617,186203
Pennsylvania,2000,1798977,510121
Rhode Island,2000,157347,52209
South Carolina,2000,677411,320254
South Dakota,2000,128598,37857
Tennessee,2000,909161,436298
Texas,2000,4059353,1823029
Utah,2000,470265,135428
Vermont,2000,102049,23986
Virginia,2000,1067710,320233
Washington,2000,1004770,326295
West Virginia,2000,286285,143446
Wisconsin,2000,859276,219276
Wyoming,2000,89895,43483
Alabama,2010,730427,402386
Alaska,2010,132104,50701
Arizona,2010,1067210,482044
Arkansas,2010,482114,291608
California,2010,6169427,3335885
Colorado,2010,842864,336426
Connecticut,2010,552919,190554
Delaware,2010,128342,61564
District of Columbia,2010,71263,52027
Florida,2010,2641555,1479519
Georgia,2010,1676419,961954
Hawaii,2010,179601,84106
Idaho,2010,275815,124104
Illinois,2010,1973401,921471
Indiana,2010,1038817,485728
Iowa,2010,484856,188486
Kansas,2010,479953,228852
Kentucky,2010,673128,380773
Louisiana,2010,695772,460546
Maine,2010,183477,78915
Maryland,2010,852202,341557
Massachusetts,2010,955301,326849
Michigan,2010,1551861,719800
Minnesota,2010,837930,306136
