got_pizza,karma,age,raop_age,pop_request,activity,total_posts,raop_posts,prev_raop_post,words,poor,student,grateful,score
0,3757,354.681145833,73.7302083333,11,61,64,0,First Post,68,Poor not in post,No student,Grateful not in post,-12
0,0,0,0,4,0,0,0,First Post,47,Poor not in post,No student,Grateful not in post,-2
0,1906,553.551087963,0,4,80,111,0,First Post,94,Poor not in post,No student,Grateful not in post,6
0,0,0,0,2,0,0,0,First Post,58,Poor not in post,No student,Grateful not in post,4
0,4894,438.102777778,0,8,56,36,0,First Post,55,Poor not in post,No student,Grateful not in post,5
0,219,409.956655093,4.90988425926,5,12,18,0,First Post,57,Poor not in post,Student,Grateful not in post,-4
1,0,0,0,17,0,0,0,First Post,60,Poor not in post,No student,Grateful not in post,1
1,65,71.4339351852,68.8948726852,5,6,4,2,Posted Before,122,Poor not in post,No student,Grateful not in post,1
0,3212,572.31494213,0,1,28,20,0,First Post,61,Poor not in post,No student,Grateful not in post,-2
0,1855,919.124837963,38.7689930556,17,49,106,0,First Post,32,Poor not in post,No student,Grateful not in post,-3
1,51,289.867222222,0,34,7,2,0,First Post,NA,Poor not in post,No student,Grateful not in post,0
0,1863,112.51568287,0,2,34,30,0,First Post,17,Poor not in post,No student,Grateful in post,5
0,919,205.714375,0,5,6,0,0,First Post,187,Poor not in post,No student,Grateful not in post,13
0,681,493.922488426,0,8,19,10,0,First Post,57,Poor not in post,No student,Grateful in post,-1
0,310,275.70099537,0,2,23,69,0,First Post,NA,Poor not in post,No student,Grateful not in post,0
0,206,212.653206019,0,2,25,16,0,First Post,48,Poor not in post,No student,Grateful not in post,0
1,230,66.5253472222,4.64951388889,12,16,4,0,First Post,119,Poor not in post,No student,Grateful not in post,1
0,153,132.454409722,0,25,14,12,0,First Post,69,Poor not in post,No student,Grateful not in post,-2
0,100,876.118912037,0,1,14,4,0,First Post,121,Poor not in post,No student,Grateful not in post,8
1,1180,445.213136574,0,5,27,53,0,First Post,50,Poor not in post,No student,Grateful not in post,2
0,174,241.200046296,0,1,11,4,0,First Post,NA,Poor not in post,No student,Grateful not in post,0
1,155010,491.711678241,385.940925926,18,28,234,3,Posted Before,40,Poor not in post,No student,Grateful not in post,6
0,5054,233.100324074,0,2,70,67,0,First Post,5,Poor not in post,No student,Grateful not in post,-2
0,15,730.906875,0,5,7,3,0,First Post,60,Poor not in post,No student,Grateful not in post,-2
