"zcta5","county","cousubfp","cbsa","metdiv","cntyname","cousubnm","cbsaname","mdivname","zipname","pop10","afact"
"ZIP Census Tabulation Area","county","cousubfp","cbsa","metdiv","cntyname","County Subdivision Name","CBSA Name","Metro Div Name","zipname","Total Pop, 2010 census","zcta5 to metdiv alloc factor"
"51640","29005","09244"," "," ","Atchison MO","Buchanan township"," "," ","Hamburg, IA",11,1 
"52542","29199","37466"," "," ","Scotland MO","Johnson township"," "," ","Cantril, IA",23,0.575 
"52542","29199","74986"," "," ","Scotland MO","Union township"," "," ","Cantril, IA",17,0.425 
"52573","29199","37466"," "," ","Scotland MO","Johnson township"," "," ","Mount Sterling, IA",25,1 
"52626","29045","24922","22800"," ","Clark MO","Folker township","Fort Madison-Keokuk, IA-IL-MO"," ","Farmington, IA",27,0.267 
"52626","29045","28414","22800"," ","Clark MO","Grant township","Fort Madison-Keokuk, IA-IL-MO"," ","Farmington, IA",74,0.733 
"63005","29189","13605","41180"," ","St. Louis MO","Chesterfield township","St. Louis, MO-IL"," ","Chesterfield, MO",17753,1 
"63010","29099","01975","41180"," ","Jefferson MO","Arnold township","St. Louis, MO-IL"," ","Arnold, MO",20808,0.587 
"63010","29099","34358","41180"," ","Jefferson MO","Imperial township","St. Louis, MO-IL"," ","Arnold, MO",211,0.006 
"63010","29099","62552","41180"," ","Jefferson MO","Rock township","St. Louis, MO-IL"," ","Arnold, MO",731,0.021 
"63010","29099","80370","41180"," ","Jefferson MO","Windsor township","St. Louis, MO-IL"," ","Arnold, MO",13689,0.386 
"63011","29189","13605","41180"," ","St. Louis MO","Chesterfield township","St. Louis, MO-IL"," ","Ballwin, MO",3002,0.083 
"63011","29189","39682","41180"," ","St. Louis MO","Lafayette township","St. Louis, MO-IL"," ","Ballwin, MO",17354,0.477 
"63011","29189","48989","41180"," ","St. Louis MO","Missouri River township","St. Louis, MO-IL"," ","Ballwin, MO",4744,0.131 
"63011","29189","60363","41180"," ","St. Louis MO","Queeny township","St. Louis, MO-IL"," ","Ballwin, MO",1,0 
"63011","29189","79801","41180"," ","St. Louis MO","Wildhorse township","St. Louis, MO-IL"," ","Ballwin, MO",11246,0.309 
"63012","29099","34358","41180"," ","Jefferson MO","Imperial township","St. Louis, MO-IL"," ","Barnhart, MO",8761,0.878 
"63012","29099","37340","41180"," ","Jefferson MO","Joachim township","St. Louis, MO-IL"," ","Barnhart, MO",778,0.078 
"63012","29099","47414","41180"," ","Jefferson MO","Meramec township","St. Louis, MO-IL"," ","Barnhart, MO",138,0.014 
"63012","29099","80370","41180"," ","Jefferson MO","Windsor township","St. Louis, MO-IL"," ","Barnhart, MO",296,0.03 
"63013","29071","07192","41180"," ","Franklin MO","Boone township","St. Louis, MO-IL"," ","Beaufort, MO",102,0.064 
"63013","29071","44714","41180"," ","Franklin MO","Lyon township","St. Louis, MO-IL"," ","Beaufort, MO",631,0.397 
"63013","29071","74644","41180"," ","Franklin MO","Union township","St. Louis, MO-IL"," ","Beaufort, MO",856,0.539 
"63014","29071","06796","41180"," ","Franklin MO","Boeuf township","St. Louis, MO-IL"," ","Berger, MO",688,0.883 
"63014","29073","62336"," "," ","Gasconade MO","Roark township"," "," ","Berger, MO",91,0.117 
"63015","29071","10630","41180"," ","Franklin MO","Calvey township","St. Louis, MO-IL"," ","Catawissa, MO",1631,0.786 
"63015","29099","47414","41180"," ","Jefferson MO","Meramec township","St. Louis, MO-IL"," ","Catawissa, MO",445,0.214 
"63016","29099","05554","41180"," ","Jefferson MO","Big River township","St. Louis, MO-IL"," ","Cedar Hill, MO",363,0.048 
"63016","29099","12790","41180"," ","Jefferson MO","Central township","St. Louis, MO-IL"," ","Cedar Hill, MO",77,0.01 
"63016","29099","32144","41180"," ","Jefferson MO","High Ridge township","St. Louis, MO-IL"," ","Cedar Hill, MO",1009,0.133 
"63016","29099","47414","41180"," ","Jefferson MO","Meramec township","St. Louis, MO-IL"," ","Cedar Hill, MO",6133,0.809 
"63017","29189","13605","41180"," ","St. Louis MO","Chesterfield township","St. Louis, MO-IL"," ","Chesterfield, MO",11813,0.285 
"63017","29189","39682","41180"," ","St. Louis MO","Lafayette township","St. Louis, MO-IL"," ","Chesterfield, MO",16157,0.39 
"63017","29189","46590","41180"," ","St. Louis MO","Maryland Heights township","St. Louis, MO-IL"," ","Chesterfield, MO",6773,0.163 
"63017","29189","48989","41180"," ","St. Louis MO","Missouri River township","St. Louis, MO-IL"," ","Chesterfield, MO",6727,0.162 
"63019","29099","37340","41180"," ","Jefferson MO","Joachim township","St. Louis, MO-IL"," ","Crystal City, MO",10,0.002 
"63019","29099","62179","41180"," ","Jefferson MO","River View township","St. Louis, MO-IL"," ","Crystal City, MO",4439,0.998 
"63020","29099","05554","41180"," ","Jefferson MO","Big River township","St. Louis, MO-IL"," ","De Soto, MO",908,0.044 
"63020","29099","12790","41180"," ","Jefferson MO","Central township","St. Louis, MO-IL"," ","De Soto, MO",1722,0.083 
"63020","29099","58232","41180"," ","Jefferson MO","Plattin township","St. Louis, MO-IL"," ","De Soto, MO",2923,0.141 
"63020","29099","75400","41180"," ","Jefferson MO","Valle township","St. Louis, MO-IL"," ","De Soto, MO",15114,0.73 
"63020","29221","38882"," "," ","Washington MO","Kingston township"," "," ","De Soto, MO",47,0.002 
"63021","29189","39682","41180"," ","St. Louis MO","Lafayette township","St. Louis, MO-IL"," ","Ballwin, MO",2,0 
"63021","29189","47450","41180"," ","St. Louis MO","Meramec township","St. Louis, MO-IL"," ","Ballwin, MO",10939,0.194 
"63021","29189","48989","41180"," ","St. Louis MO","Missouri River township","St. Louis, MO-IL"," ","Ballwin, MO",980,0.017 
"63021","29189","60363","41180"," ","St. Louis MO","Queeny township","St. Louis, MO-IL"," ","Ballwin, MO",28758,0.511 
"63021","29189","79801","41180"," ","St. Louis MO","Wildhorse township","St. Louis, MO-IL"," ","Ballwin, MO",15582,0.277 
"63023","29099","05554","41180"," ","Jefferson MO","Big River township","St. Louis, MO-IL"," ","Dittmer, MO",4157,0.713 
"63023","29099","47414","41180"," ","Jefferson MO","Meramec township","St. Louis, MO-IL"," ","Dittmer, MO",1674,0.287 
"63025","29099","32144","41180"," ","Jefferson MO","High Ridge township","St. Louis, MO-IL"," ","Eureka, MO",297,0.021 
"63025","29099","47414","41180"," ","Jefferson MO","Meramec township","St. Louis, MO-IL"," ","Eureka, MO",2386,0.172 
"63025","29189","47450","41180"," ","St. Louis MO","Meramec township","St. Louis, MO-IL"," ","Eureka, MO",11171,0.806 
"63026","29099","62552","41180"," ","Jefferson MO","Rock township","St. Louis, MO-IL"," ","Fenton, MO",20097,0.455 
"63026","29189","07066","41180"," ","St. Louis MO","Bonhomme township","St. Louis, MO-IL"," ","Fenton, MO",9031,0.205 
"63026","29189","47450","41180"," ","St. Louis MO","Meramec township","St. Louis, MO-IL"," ","Fenton, MO",14996,0.34 
"63028","29099","12790","41180"," ","Jefferson MO","Central township","St. Louis, MO-IL"," ","Festus, MO",705,0.027 
"63028","29099","37340","41180"," ","Jefferson MO","Joachim township","St. Louis, MO-IL"," ","Festus, MO",5365,0.203 
"63028","29099","58232","41180"," ","Jefferson MO","Plattin township","St. Louis, MO-IL"," ","Festus, MO",8433,0.319 
"63028","29099","62179","41180"," ","Jefferson MO","River View township","St. Louis, MO-IL"," ","Festus, MO",11262,0.426 
"63028","29099","75400","41180"," ","Jefferson MO","Valle township","St. Louis, MO-IL"," ","Festus, MO",6,0 
"63028","29186","36098"," "," ","Ste. Genevieve MO","Jackson township"," "," ","Festus, MO",642,0.024 
"63030","29221","38882"," "," ","Washington MO","Kingston township"," "," ","Fletcher, MO",94,0.231 
"63030","29221","61814"," "," ","Washington MO","Richwoods township"," "," ","Fletcher, MO",313,0.769 
"63031","29189","24004","41180"," ","St. Louis MO","Ferguson township","St. Louis, MO-IL"," ","Florissant, MO",1234,0.026 
"63031","29189","24796","41180"," ","St. Louis MO","Florissant township","St. Louis, MO-IL"," ","Florissant, MO",13536,0.281 
"63031","29189","41825","41180"," ","St. Louis MO","Lewis and Clark township","St. Louis, MO-IL"," ","Florissant, MO",23188,0.481 
"63031","29189","53360","41180"," ","St. Louis MO","Northwest township","St. Louis, MO-IL"," ","Florissant, MO",10254,0.213 
